state,visited
Alabama,1
Alaska,0
Arkansas,1
Arizona,1
California,1
Colorado,1
Connecticut,1
Delaware,1
Florida,1
Georgia,2
Hawaii,0
Iowa,1
Idaho,0
Illinois,1
Indiana,1
Kansas,0
Kentucky,1
Louisiana,1
Maine,2
Maryland,1
Massachusetts,1
Michigan,2
Minnesota,1
Missouri,1
Mississippi,2
Montana,0
North Carolina,1
North Dakota,0
Nebraska,1
New Hampshire,2
New Jersey,1
New Mexico,0
Nevada,1
New York,1
Ohio,1
Oklahoma,0
Oregon,0
Pennsylvania,1
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,1
Texas,0
Utah,1
Virginia,1
Vermont,2
Washington,0
Wisconsin,0
West Virginia,1
Wyoming,0
